id,timestamp,url,tweet,replies,retweets,quotes,likes
1316072710485676034,2020-10-13 17:46,https://twitter.com/JoeBiden/status/1316072710485676034,"Folks, we have arrived at the final frontier of this election — and your support is more important than ever. Chip in to join us for a grassroots fundraiser as we boldly go into these last three weeks: https://t.co/ywclqY6n5E https://t.co/wKRyRclgda",1345,2628,179,10998
1316065663916683264,2020-10-13 17:18,https://twitter.com/JoeBiden/status/1316065663916683264,Kentucky — in-person early voting begins today across the state. Head to https://t.co/JRj2A8zKYo and make your plan to vote.,1512,3858,214,16800
1316054842838835200,2020-10-13 16:35,https://twitter.com/JoeBiden/status/1316054842838835200,"If you live in:

Kansas
Louisiana
Maryland
Minnesota
New Jersey
Oregon
Virginia
Washington D.C.
West Virginia

Today is your last day to register to vote. Head to https://t.co/eoxT07d7QB to register before it's too late. https://t.co/KzozufgQH7",1633,9241,359,21700
1316046538339090433,2020-10-13 16:02,https://twitter.com/JoeBiden/status/1316046538339090433,"Texas — early voting begins today across the state.

Your voice can change the course of history — use it.

Head to https://t.co/COWdd5hED8 and make a plan to vote early today. https://t.co/j1hphIh2bS",1899,10654,638,38690
1316038704310480896,2020-10-13 15:30,https://twitter.com/JoeBiden/status/1316038704310480896,"@KamalaHarris @DouglasEmhoff Happy Birthday, @DouglasEmhoff!",185,969,22,18418
1316027160075866112,2020-10-13 14:45,https://twitter.com/JoeBiden/status/1316027160075866112,"Donald Trump has been trying to throw out Obamacare for years.

And now he sees an opportunity to finally get it done, all while ignoring the will of the people.

We can’t let him.",6118,13428,722,82291
1316009544481345541,2020-10-13 13:35,https://twitter.com/JoeBiden/status/1316009544481345541,"Three weeks from today, we’re going to make Donald Trump a one-term president.",36667,82028,9352,726843
1315823316960120833,2020-10-13 01:15,https://twitter.com/JoeBiden/status/1315823316960120833,"I am ready to fight for you and for our nation. Every day. Without exception, without reservation. And with a full and devoted heart.",19119,22558,2476,178293
1315808217620860930,2020-10-13 00:15,https://twitter.com/JoeBiden/status/1315808217620860930,We need a president who will unite our country and bring out our best — not one who stokes division and brings out our worst.,18125,24825,2444,189452
1315798151375187968,2020-10-12 23:35,https://twitter.com/JoeBiden/status/1315798151375187968,"Folks, we're just a few days away from our final public fundraising deadline, and we need your help to hit our goal.

Every donation — big or small — makes a big difference during these final weeks.

If you're able, please chip in: https://t.co/GQKCKd8oNV",2016,2481,145,9730
1315791859919122433,2020-10-12 23:10,https://twitter.com/JoeBiden/status/1315791859919122433,"On National Farmers Day, we honor the hardworking men and women who drive our economy, fuel our rural communities, and nourish our nation. A Biden-Harris administration will work every day to restore the dignity our farmers deserve and help them build back better than before.",2100,5333,268,28707
